Institution Name,City,State,Fall 2013 Enrollment
St John's University-New York,Queens,NY,20729
Troy University,Troy,AL,20573
Georgia Southern University,Statesboro,GA,20517
Ball State University,Muncie,IN,20503
Western Kentucky University,Bowling Green,KY,20448
Illinois State University,Normal,IL,20272
Columbia Southern University,Orange Beach,AL,20185
James Madison University,Harrisonburg,VA,20181
Oakland University,Rochester Hills,MI,20169
Des Moines Area Community College,Ankeny,IA,20167
Mississippi State University,Mississippi State,MS,20161
Northeastern University,Boston,MA,20053
The University of Texas-Pan American,Edinburg,TX,20053
University of Hawaii at Manoa,Honolulu,HI,20006
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,19703
Montclair State University,Montclair,NJ,19464
University of Mississippi,University,MS,19431
Sam Houston State University,Huntsville,TX,19210
CUNY Queens College,Flushing,NY,18974
University of Nevada-Reno,Reno,NV,18776
University of Alabama at Birmingham,Birmingham,AL,18568
Blinn College,Brenham,TX,18561
California State University-San Bernardino,San Bernardino,CA,18398
Vincennes University,Vincennes,IN,18383
Sierra College,Rocklin,CA,18374
Stanford University,Stanford,CA,18346
National University,La Jolla,CA,18207
University of North Carolina at Greensboro,Greensboro,NC,18074
Southern Illinois University-Carbondale,Carbondale,IL,17964
Webster University,Saint Louis,MO,17904
Miami University-Oxford,Oxford,OH,17901
Georgetown University,Washington,DC,17849
Appalachian State University,Boone,NC,17838
CUNY Bernard M Baruch College,New York,NY,17505
Cleveland State University,Cleveland,OH,17497
University of Alaska Anchorage,Anchorage,AK,17363
Saint Louis University,Saint Louis,MO,17343
SUNY at Albany,Albany,NY,17338
Universidad Del Turabo,Gurabo,PR,17287
University of Central Oklahoma,Edmond,OK,17220
University of California-Santa Cruz,Santa Cruz,CA,17203
CUNY Brooklyn College,Brooklyn,NY,17004
Bowling Green State University-Main Campus,Bowling Green,OH,16958
Columbia College,Columbia,MO,16946
University of Miami,Coral Gables,FL,16935
University of Massachusetts-Lowell,Lowell,MA,16932
University of Missouri-St Louis,Saint Louis,MO,16809
Saint Cloud State University,Saint Cloud,MN,16765
New Mexico State University-Main Campus,Las Cruces,NM,16765
Wright State University-Main Campus,Dayton,OH,16656
University of Louisiana at Lafayette,Lafayette,LA,16646
Rochester Institute of Technology,Rochester,NY,16583
Monroe Community College,Rochester,NY,16458
University of Rhode Island,Kingston,RI,16387
California State University-Chico,Chico,CA,16356
University of Massachusetts-Boston,Boston,MA,16277
Saint Leo University,Saint Leo,FL,16275
Eastern Kentucky University,Richmond,KY,16111
University of North Florida,Jacksonville,FL,16083
SUNY at Binghamton,Vestal,NY,16077
Academy of Art University,San Francisco,CA,16001
Loyola University Chicago,Chicago,IL,15957
West Chester University of Pennsylvania,West Chester,PA,15845
Metropolitan Community College Area,Omaha,NE,15752
University of Missouri-Kansas City,Kansas City,MO,15718
Baylor University,Waco,TX,15616
University of Puerto Rico-Rio Piedras,San Juan,PR,15487
Duke University,Durham,NC,15467
University of North Georgia,Dahlonega,GA,15455
Minnesota State University-Mankato,Mankato,MN,15426
Edison State College,Fort Myers,FL,15423
CUNY City College,New York,NY,15331
Northern Kentucky University,Highland Heights,KY,15263
University of Southern Mississippi,Hattiesburg,MS,15249
University of Nebraska at Omaha,Omaha,NE,15227
University of North Dakota,Grand Forks,ND,15143
Fordham University,Bronx,NY,15097
University of South Alabama,Mobile,AL,15065
Texas Woman's University,Denton,TX,15058
University of Chicago,Chicago,IL,15048
CUNY John Jay College of Criminal Justice,New York,NY,15010
Indiana Wesleyan University,Marion,IN,14959
Western Washington University,Bellingham,WA,14950
Southeastern Louisiana University,Hammond,LA,14934
Indiana University of Pennsylvania-Main Campus,Indiana,PA,14925
University of New Hampshire-Main Campus,Durham,NH,14913
Montana State University,Bozeman,MT,14852
Ferris State University,Big Rapids,MI,14707
East Tennessee State University,Johnson City,TN,14691
California State University-Dominguez Hills,Carson,CA,14670
North Dakota State University-Main Campus,Fargo,ND,14629
Embry-Riddle Aeronautical University-Worldwide,Daytona Beach,FL,14564
California State University-East Bay,Hayward,CA,14526
The University of Montana,Missoula,MT,14525
Emory University,Atlanta,GA,14513
College of Staten Island CUNY,Staten Island,NY,14441
Kean University,Union,NJ,14404
Chandler-Gilbert Community College,Chandler,AZ,14399
Wichita State University,Wichita,KS,14386
Boston College,Chestnut Hill,MA,14309
Florida Gulf Coast University,Fort Myers,FL,14077
Lamar University,Beaumont,TX,14035
Washington University in St Louis,Saint Louis,MO,14032
University of North Carolina Wilmington,Wilmington,NC,13937
