Institution Name,City,State,Fall 2013 Enrollment
Upper Iowa University,Fayette,IA,5304
Paris Junior College,Paris,TX,5301
Concordia University-Chicago,River Forest,IL,5286
George C Wallace State Community College-Hanceville,Hanceville,AL,5281
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,5279
Baker College Center for Graduate Studies,Flint,MI,5270
Lock Haven University,Lock Haven,PA,5260
York College Pennsylvania,York,PA,5250
Plymouth State University,Plymouth,NH,5236
Midland College,Midland,TX,5233
Christopher Newport University,Newport News,VA,5232
Barton County Community College,Great Bend,KS,5210
Lesley University,Cambridge,MA,5195
Jefferson College,Hillsboro,MO,5194
State Fair Community College,Sedalia,MO,5185
Jamestown Community College,Jamestown,NY,5178
Inter American University of Puerto Rico-San German,San German,PR,5177
Trinity Valley Community College,Athens,TX,5172
Pearl River Community College,Poplarville,MS,5170
University of Redlands,Redlands,CA,5147
Northeast Community College,Norfolk,NE,5145
California State University-Channel Islands,Camarillo,CA,5140
Drake University,Des Moines,IA,5139
University of Illinois at Springfield,Springfield,IL,5137
The University of Texas of the Permian Basin,Odessa,TX,5131
University of Detroit Mercy,Detroit,MI,5112
Auburn University at Montgomery,Montgomery,AL,5084
University of Puerto Rico-Bayamon,Bayamon,PR,5075
Grambling State University,Grambling,LA,5071
Strayer University-Georgia,Atlanta,GA,5071
Odessa College,Odessa,TX,5059
Maryville University of Saint Louis,Saint Louis,MO,5033
Endicott College,Beverly,MA,5029
Widener University-Main Campus,Chester,PA,5025
Alabama A & M University,Normal,AL,5020
Sullivan University,Louisville,KY,5017
St Catherine University,Saint Paul,MN,5017
Dalton State College,Dalton,GA,5015
Grayson College,Denison,TX,5014
University of the District of Columbia,Washington,DC,5011
Baker College of Flint,Flint,MI,4977
Montana State University-Billings,Billings,MT,4969
Bemidji State University,Bemidji,MN,4963
Longwood University,Farmville,VA,4960
Tiffin University,Tiffin,OH,4954
Aurora University,Aurora,IL,4946
Southwestern Oklahoma State University,Weatherford,OK,4942
College of the Redwoods,Eureka,CA,4938
Corning Community College,Corning,NY,4929
University of the Cumberlands,Williamsburg,KY,4924
Keene State College,Keene,NH,4923
Lee University,Cleveland,TN,4922
Mississippi College,Clinton,MS,4921
Fairfield University,Fairfield,CT,4919
Northern Oklahoma College,Tonkawa,OK,4909
Polytechnic Institute of New York University,Brooklyn,NY,4890
The University of Findlay,Findlay,OH,4880
Saint Edward's University,Austin,TX,4861
Inter American University of Puerto Rico-Bayamon,Bayamon,PR,4857
University of Bridgeport,Bridgeport,CT,4842
Samford University,Birmingham,AL,4833
University of Mary Washington,Fredericksburg,VA,4831
Butler University,Indianapolis,IN,4827
National Louis University,Chicago,IL,4814
Southern Union State Community College,Wadley,AL,4805
Inter American University of Puerto Rico-Arecibo,Arecibo,PR,4799
Pratt Institute-Main,Brooklyn,NY,4793
Skagit Valley College,Mount Vernon,WA,4790
Delta State University,Cleveland,MS,4785
Laramie County Community College,Cheyenne,WY,4780
Savannah State University,Savannah,GA,4772
University of Maine at Augusta,Augusta,ME,4770
Roger Williams University,Bristol,RI,4732
Northwestern Michigan College,Traverse City,MI,4724
ASA College,Brooklyn,NY,4706
Loma Linda University,Loma Linda,CA,4693
Loyola University New Orleans,New Orleans,LA,4686
Wilkes University,Wilkes-Barre,PA,4665
Providence College,Providence,RI,4665
University of South Florida-St Petersburg,St. Petersburg,FL,4660
Gardner-Webb University,Boiling Springs,NC,4656
Simmons College,Boston,MA,4655
Drury University,Springfield,MO,4649
Universidad Politecnica de Puerto Rico,Hato Rey,PR,4646
Hampton University,Hampton,VA,4622
The University of Texas Health Science Center at Houston,Houston,TX,4615
Snow College,Ephraim,UT,4605
University of Washington-Bothell Campus,Bothell,WA,4604
Indian Hills Community College,Ottumwa,IA,4604
University of Tulsa,Tulsa,OK,4597
Berkeley College-New York,New York,NY,4596
Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR,4595
United States Military Academy,West Point,NY,4591
East Central University,Ada,OK,4587
Hamline University,Saint Paul,MN,4581
Lipscomb University,Nashville,TN,4580
Olivet Nazarene University,Bourbonnais,IL,4579
University of Wisconsin-Parkside,Kenosha,WI,4578
Western Technical College,La Crosse,WI,4572
Emerson College,Boston,MA,4561
Central Methodist University-College of Graduate and Extended Studies,Fayette,MO,4555
The College of Saint Rose,Albany,NY,4542
Canisius College,Buffalo,NY,4537
United States Naval Academy,Annapolis,MD,4526
Berklee College of Music,Boston,MA,4519
Texas Tech University Health Sciences Center,Lubbock,TX,4519
Mineral Area College,Park Hills,MO,4508
Valparaiso University,Valparaiso,IN,4508
Hill College,Hillsboro,TX,4495
University of Houston-Victoria,Victoria,TX,4491
University of Phoenix-Phoenix Campus,Tempe,AZ,4480
Rogers State University,Claremore,OK,4473
Black Hills State University,Spearfish,SD,4464
Abilene Christian University,Abilene,TX,4461
Indiana University-East,Richmond,IN,4456
Molloy College,Rockville Centre,NY,4455
Cochise College,Douglas,AZ,4453
Jones County Junior College,Ellisville,MS,4443
Pennsylvania State University-Penn State Harrisburg,Middletown,PA,4441
Sheridan College,Sheridan,WY,4437
University of West Alabama,Livingston,AL,4427
Cardinal Stritch University,Milwaukee,WI,4407
Oregon Institute of Technology,Klamath Falls,OR,4407
Stevenson University,Stevenson,MD,4404
Madonna University,Livonia,MI,4399
Three Rivers Community College,Poplar Bluff,MO,4399
The Evergreen State College,Olympia,WA,4398
Northcentral Technical College,Wausau,WI,4384
Arkansas State University-Beebe,Beebe,AR,4380
SUNY College at Old Westbury,Old Westbury,NY,4367
East Mississippi Community College,Scooba,MS,4364
James H Faulkner State Community College,Bay Minette,AL,4362
SUNY at Purchase College,Purchase,NY,4353
Shawnee State University,Portsmouth,OH,4341
Bethel University,Saint Paul,MN,4340
School of Visual Arts,New York,NY,4338
Delaware State University,Dover,DE,4336
Lewis-Clark State College,Lewiston,ID,4304
University of Washington-Tacoma Campus,Tacoma,WA,4295
NHTI-Concord's Community College,Concord,NH,4288
California Lutheran University,Thousand Oaks,CA,4282
Seattle Pacific University,Seattle,WA,4270
Albany State University,Albany,GA,4260
Saint Mary's College of California,Moraga,CA,4257
Saint Xavier University,Chicago,IL,4252
Iona College,New Rochelle,NY,4241
Fairmont State University,Fairmont,WV,4232
Adirondack Community College,Queensbury,NY,4230
Shepherd University,Shepherdstown,WV,4221
University of Maryland Eastern Shore,Princess Anne,MD,4220
Gannon University,Erie,PA,4211
The College of Saint Scholastica,Duluth,MN,4206
Alliant International University,San Diego,CA,4201
High Point University,High Point,NC,4199
Gordon State College,Barnesville,GA,4187
Wentworth Institute of Technology,Boston,MA,4179
Indiana University-Kokomo,Kokomo,IN,4178
University of Northwestern Ohio,Lima,OH,4167
Eastern Oregon University,La Grande,OR,4157
Jacksonville University,Jacksonville,FL,4157
Southwest Wisconsin Technical College,Fennimore,WI,4144
University of Richmond,University of Richmond,VA,4140
Howard College,Big Spring,TX,4130
Louisiana State University-Shreveport,Shreveport,LA,4114
Yakima Valley Community College,Yakima,WA,4105
Hocking College,Nelsonville,OH,4094
Casper College,Casper,WY,4082
Bismarck State College,Bismarck,ND,4062
Francis Marion University,Florence,SC,4058
Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,4057
Niagara University,Niagara University,NY,4056
Baldwin Wallace University,Berea,OH,4053
Concordia University-Irvine,Irvine,CA,4046
Stetson University,DeLand,FL,4044
University of Hawaii at Hilo,Hilo,HI,4043
SUNY College at Potsdam,Potsdam,NY,4042
University of Portland,Portland,OR,4036
Calvin College,Grand Rapids,MI,4034
Utica College,Utica,NY,4028
Belhaven University,Jackson,MS,4025
Baker College of Muskegon,Muskegon,MI,4021
Fort Lewis College,Durango,CO,4021
Eastern University,Saint Davids,PA,4004
Shenandoah University,Winchester,VA,4003
Lawrence Technological University,Southfield,MI,4002
University of Puerto Rico-Carolina,Carolina,PR,3994
Union University,Jackson,TN,3993
United States Air Force Academy,USAFA,CO,3993
Texas State Technical College-Waco,Waco,TX,3988
Saint John Fisher College,Rochester,NY,3987
The College of New Rochelle,New Rochelle,NY,3966
Spring Arbor University,Spring Arbor,MI,3962
Lincoln Memorial University,Harrogate,TN,3952
Arcadia University,Glenside,PA,3905
University of Arkansas at Monticello,Monticello,AR,3893
Cowley County Community College,Arkansas City,KS,3888
Eastern New Mexico University-Roswell Campus,Roswell,NM,3883
Manhattan College,Riverdale,NY,3883
William Carey University,Hattiesburg,MS,3882
St Mary's University,San Antonio,TX,3868
Pennsylvania State University-Penn State Altoona,Altoona,PA,3861
Alcorn State University,Alcorn State,MS,3848
Point Park University,Pittsburgh,PA,3841
University of Guam,Mangilao,GU,3836
Southeastern Oklahoma State University,Durant,OK,3826
University of Puerto Rico-Cayey,Cayey,PR,3816
Southwest Baptist University,Bolivar,MO,3812
Lakeland College,Plymouth,WI,3806
Strayer University-North Carolina,Morrisville,NC,3802
Western New England University,Springfield,MA,3800
Bethune-Cookman University,Daytona Beach,FL,3787
University of North Carolina at Asheville,Asheville,NC,3784
Palm Beach Atlantic University,West Palm Beach,FL,3764
University of St Francis,Joliet,IL,3764
University of Puerto Rico-Arecibo,Arecibo,PR,3759
Newman University,Wichita,KS,3736
DeVry University-Georgia,Decatur,GA,3731
Clarkson University,Potsdam,NY,3726
Meridian Community College,Meridian,MS,3713
George Fox University,Newberg,OR,3712
John Carroll University,University Heights,OH,3711
Ohio Christian University,Circleville,OH,3711
Moody Bible Institute,Chicago,IL,3709
Arizona State University-Polytechnic,Mesa,AZ,3697
Pennsylvania State University-Penn State Abington,Abington,PA,3694
New Mexico Highlands University,Las Vegas,NM,3690
University of Nebraska Medical Center,Omaha,NE,3681
American Sentinel University,Aurora,CO,3676
Immaculata University,Immaculata,PA,3675
Berkeley College-Woodland Park,Woodland Park,NJ,3671
Concordia University-Saint Paul,Saint Paul,MN,3661
Arizona State University-West,Glendale,AZ,3661
American International College,Springfield,MA,3657
Thomas Jefferson University,Philadelphia,PA,3635
Capital University,Columbus,OH,3628
Miami University-Hamilton,Hamilton,OH,3621
Western Wyoming Community College,Rock Springs,WY,3620
Wenatchee Valley College,Wenatchee,WA,3619
Ohio Northern University,Ada,OH,3619
Oklahoma State University Institute of Technology,Okmulgee,OK,3618
Cisco College,Cisco,TX,3617
Bucknell University,Lewisburg,PA,3608
Saint Ambrose University,Davenport,IA,3607
Citadel Military College of South Carolina,Charleston,SC,3598
Pacific University,Forest Grove,OR,3583
Henderson State University,Arkadelphia,AR,3583
DeVry University-Ohio,Columbus,OH,3578
Western New Mexico University,Silver City,NM,3560
SUNY College of Technology at Alfred,Alfred,NY,3555
Augsburg College,Minneapolis,MN,3554
Clark University,Worcester,MA,3551
Carroll University,Waukesha,WI,3534
Coastal Bend College,Beeville,TX,3533
Minot State University,Minot,ND,3533
University of St Thomas,Houston,TX,3525
Philadelphia University,Philadelphia,PA,3523
Lewis & Clark College,Portland,OR,3521
Campbellsville University,Campbellsville,KY,3520
Andrews University,Berrien Springs,MI,3516
University of Oklahoma-Health Sciences Center,Oklahoma City,OK,3515
SUNY College of Technology at Canton,Canton,NY,3512
Wayne State College,Wayne,NE,3506
University of Puerto Rico-Humacao,Humacao,PR,3495
University of Mary Hardin-Baylor,Belton,TX,3492
Bevill State Community College,Jasper,AL,3490
Marymount University,Arlington,VA,3486
Dominican University,River Forest,IL,3470
Florida Institute of Technology-Online,Melbourne,FL,3466
South Carolina State University,Orangeburg,SC,3463
Pacific Lutheran University,Tacoma,WA,3462
Cedarville University,Cedarville,OH,3462
Clark Atlanta University,Atlanta,GA,3458
Bryant University,Smithfield,RI,3454
Centralia College,Centralia,WA,3453
Southeastern University,Lakeland,FL,3434
University of Phoenix-Sacramento Valley Campus,Sacramento,CA,3421
Bellarmine University,Louisville,KY,3419
Norwich University,Northfield,VT,3417
Oral Roberts University,Tulsa,OK,3414
Mount Olive College,Mount Olive,NC,3414
Southern Arkansas University Main Campus,Magnolia,AR,3404
School of the Art Institute of Chicago,Chicago,IL,3402
Abraham Baldwin Agricultural College,Tifton,GA,3394
Fresno Pacific University,Fresno,CA,3393
Hope College,Holland,MI,3388
Coppin State University,Baltimore,MD,3383
DeVry University-Texas,Irving,TX,3382
Nevada State College,Henderson,NV,3377
Bob Jones University,Greenville,SC,3364
Point Loma Nazarene University,San Diego,CA,3359
University of Northwestern-St Paul,Saint Paul,MN,3352
Babson College,Wellesley,MA,3343
Le Moyne College,Syracuse,NY,3319
SUNY College of Technology at Delhi,Delhi,NY,3308
Limestone College,Gaffney,SC,3307
Champlain College,Burlington,VT,3305
University of South Carolina-Aiken,Aiken,SC,3299
Northern State University,Aberdeen,SD,3275
Mount St Mary's College,Los Angeles,CA,3274
Northeast Mississippi Community College,Booneville,MS,3271
Charleston Southern University,Charleston,SC,3269
DeSales University,Center Valley,PA,3266
Southern Adventist University,Collegedale,TN,3255
Springfield College,Springfield,MA,3255
DeVry University-Florida,Miramar,FL,3252
Robert Morris University Illinois,Chicago,IL,3233
Minnesota West Community and Technical College,Granite Falls,MN,3231
McDaniel College,Westminster,MD,3229
Golden Gate University-San Francisco,San Francisco,CA,3227
The Southern Baptist Theological Seminary,Louisville,KY,3226
Highland Community College,Highland,KS,3226
Southeastern Community College,West Burlington,IA,3225
Northeast Texas Community College,Mount Pleasant,TX,3225
Herkimer County Community College,Herkimer,NY,3212
Adams State University,Alamosa,CO,3211
Elmhurst College,Elmhurst,IL,3210
AI Miami International University of Art and Design,Miami,FL,3208
North Iowa Area Community College,Mason City,IA,3207
Siena College,Loudonville,NY,3207
Wesleyan University,Middletown,CT,3205
Dowling College,Oakdale,NY,3198
Northwood University-Michigan,Midland,MI,3194
Saint Peter's University,Jersey City,NJ,3194
Faulkner University,Montgomery,AL,3193
Allegany College of Maryland,Cumberland,MD,3191
Great Basin College,Elko,NV,3181
Fort Valley State University,Fort Valley,GA,3180
Oklahoma City University,Oklahoma City,OK,3179
Marywood University,Scranton,PA,3175
Athens State University,Athens,AL,3170
North Dakota State College of Science,Wahpeton,ND,3168
Copiah-Lincoln Community College,Wesson,MS,3157
Rollins College,Winter Park,FL,3153
D'Youville College,Buffalo,NY,3150
The University of Texas Health Science Center at San Antonio,San Antonio,TX,3148
North Park University,Chicago,IL,3136
Dakota State University,Madison,SD,3129
St Olaf College,Northfield,MN,3125
Xavier University of Louisiana,New Orleans,LA,3121
University of Puerto Rico-Ponce,Ponce,PR,3120
Tuskegee University,Tuskegee,AL,3118
Cambridge College,Cambridge,MA,3114
The University of Texas Medical Branch,Galveston,TX,3112
Central Maine Community College,Auburn,ME,3109
Westminster College,Salt Lake City,UT,3108
Vernon College,Vernon,TX,3084
Messiah College,Mechanicsburg,PA,3084
Nyack College,Nyack,NY,3082
The Art Institute of Atlanta,Atlanta,GA,3078
Baker University,Baldwin City,KS,3076
Curry College,Milton,MA,3074
Strayer University-Maryland,Suitland,MD,3074
Merrimack College,North Andover,MA,3067
University of Montevallo,Montevallo,AL,3062
Chadron State College,Chadron,NE,3056
West Hills College-Coalinga,Coalinga,CA,3055
Husson University,Bangor,ME,3049
North Central College,Naperville,IL,3048
Lincoln University,Jefferson City,MO,3043
Smith College,Northampton,MA,3033
Fairleigh Dickinson University-College at Florham,Madison,NJ,3029
Lawson State Community College-Birmingham Campus,Birmingham,AL,3028
Morrisville State College,Morrisville,NY,3028
McKendree University,Lebanon,IL,3027
Misericordia University,Dallas,PA,3026
Southern University at Shreveport,Shreveport,LA,3018
Carlow University,Pittsburgh,PA,3012
Mercyhurst University,Erie,PA,3011
Wingate University,Wingate,NC,3002
University of Alaska Southeast,Juneau,AK,2996
Wheaton College,Wheaton,IL,2993
Carthage College,Kenosha,WI,2988
College of Coastal Georgia,Brunswick,GA,2987
University of Puerto Rico-Aguadilla,Ramey,PR,2973
Strayer University-Florida,Tampa,FL,2973
Redlands Community College,El Reno,OK,2971
Mansfield University of Pennsylvania,Mansfield,PA,2970
Anderson University,Anderson,SC,2966
Walsh University,North Canton,OH,2963
Neumann University,Aston,PA,2956
Holy Family University,Philadelphia,PA,2956
Furman University,Greenville,SC,2953
Mississippi Delta Community College,Moorhead,MS,2950
Mid-America Christian University,Oklahoma City,OK,2942
Our Lady of the Lake University,San Antonio,TX,2927
Rockhurst University,Kansas City,MO,2920
Otterbein University,Westerville,OH,2919
College of the Holy Cross,Worcester,MA,2912
Oberlin College,Oberlin,OH,2911
University of Mary,Bismarck,ND,2910
Houston Baptist University,Houston,TX,2910
Colgate University,Hamilton,NY,2900
Edgewood College,Madison,WI,2894
Brigham Young University-Hawaii,Laie,HI,2882
Lander University,Greenwood,SC,2877
Notre Dame of Maryland University,Baltimore,MD,2877
Daemen College,Amherst,NY,2871
Alvernia University,Reading,PA,2871
University of Arkansas for Medical Sciences,Little Rock,AR,2867
Walsh College of Accountancy and Business Administration,Troy,MI,2864
East Georgia State College,Swainsboro,GA,2857
Willamette University,Salem,OR,2855
Brenau University,Gainesville,GA,2854
Allen County Community College,Iola,KS,2852
Sul Ross State University,Alpine,TX,2842
University of Pittsburgh-Johnstown,Johnstown,PA,2840
University of Minnesota-Crookston,Crookston,MN,2839
Flagler College-St Augustine,Saint Augustine,FL,2839
Oregon Health & Science University,Portland,OR,2838
The Sage Colleges,Troy,NY,2832
Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,2829
Baker College of Owosso,Owosso,MI,2828
Stratford University,Fairfax,VA,2825
Nazareth College,Rochester,NY,2823
St Francis College,Brooklyn Heights,NY,2819
Culinary Institute of America,Hyde Park,NY,2814
University of Puget Sound,Tacoma,WA,2812
Cornerstone University,Grand Rapids,MI,2809
Georgia Southwestern State University,Americus,GA,2806
Southwestern Michigan College,Dowagiac,MI,2802
Strayer University-Global Region,Washington,DC,2796
North Central Michigan College,Petoskey,MI,2790
Jones International University,Centennial,CO,2782
Fulton-Montgomery Community College,Johnstown,NY,2781
West Liberty University,West Liberty,WV,2776
Medical University of South Carolina,Charleston,SC,2775
University of the Sciences,Philadelphia,PA,2773
Concord University,Athens,WV,2767
Viterbo University,La Crosse,WI,2762
Assumption College,Worcester,MA,2756
Chaminade University of Honolulu,Honolulu,HI,2752
Manhattanville College,Purchase,NY,2750
Franciscan University of Steubenville,Steubenville,OH,2733
Pennsylvania State University-Penn State Berks,Reading,PA,2732
Life University,Marietta,GA,2730
LeTourneau University,Longview,TX,2729
University of Phoenix-Central Valley Campus,Fresno,CA,2725
Marian University,Indianapolis,IN,2714
Lynchburg College,Lynchburg,VA,2713
Skidmore College,Saratoga Springs,NY,2702
Panola College,Carthage,TX,2699
Siena Heights University,Adrian,MI,2684
Pierpont Community and Technical College,Fairmont,WV,2683
West Virginia State University,Institute,WV,2677
Neosho County Community College,Chanute,KS,2667
University of Wisconsin-Superior,Superior,WI,2661
Milwaukee School of Engineering,Milwaukee,WI,2658
Lindsey Wilson College,Columbia,KY,2644
University of Saint Joseph,West Hartford,CT,2640
South Dakota School of Mines and Technology,Rapid City,SD,2640
New Orleans Baptist Theological Seminary,New Orleans,LA,2638
University of Evansville,Evansville,IN,2630
Mississippi University for Women,Columbus,MS,2629
Florida Southern College,Lakeland,FL,2619
University of Arkansas at Pine Bluff,Pine Bluff,AR,2615
Southeastern Baptist Theological Seminary,Wake Forest,NC,2604
Salve Regina University,Newport,RI,2603
University of Dallas,Irving,TX,2598
John Brown University,Siloam Springs,AR,2596
South Georgia State College,Douglas,GA,2579
King University,Bristol,TN,2575
Iowa Lakes Community College,Estherville,IA,2574
Ohio Dominican University,Columbus,OH,2573
East Central Community College,Decatur,MS,2572
Whitworth University,Spokane,WA,2569
Concordia University-Texas,Austin,TX,2565
Concordia College at Moorhead,Moorhead,MN,2558
Eastern Maine Community College,Bangor,ME,2558
Mount Saint Mary College,Newburgh,NY,2556
Morningside College,Sioux City,IA,2542
Alverno College,Milwaukee,WI,2536
Langston University,Langston,OK,2533
College of the Siskiyous,Weed,CA,2533
Kentucky State University,Frankfort,KY,2533
Augustana College,Rock Island,IL,2524
Gettysburg College,Gettysburg,PA,2524
University of Connecticut-Tri-Campus,Waterbury,CT,2518
Benedict College,Columbia,SC,2512
St Lawrence University,Canton,NY,2506
Trinity Washington University,Washington,DC,2506
Victory University,Memphis,TN,2496
Middlebury College,Middlebury,VT,2495
The Art Institute of Philadelphia,Philadelphia,PA,2494
Lassen Community College,Susanville,CA,2494
Mid-Plains Community College,North Platte,NE,2491
Grove City College,Grove City,PA,2491
Barnard College,New York,NY,2489
Lafayette College,Easton,PA,2486
Stonehill College,Easton,MA,2481
SUNY Institute of Technology at Utica-Rome,Utica,NY,2480
Vassar College,Poughkeepsie,NY,2477
Wellesley College,Wellesley,MA,2474
Southeast Technical Institute,Sioux Falls,SD,2467
North Greenville University,Tigerville,SC,2466
Luther College,Decorah,IA,2466
Methodist University,Fayetteville,NC,2463
University of Phoenix-Albuquerque Campus,Albuquerque,NM,2462
Carl Albert State College,Poteau,OK,2458
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,2453
Gustavus Adolphus College,Saint Peter,MN,2449
Cabrini College,Radnor,PA,2448
Muhlenberg College,Allentown,PA,2448
Treasure Valley Community College,Ontario,OR,2443
Anderson University,Anderson,IN,2442
North Georgia Technical College,Clarkesville,GA,2441
La Sierra University,Riverside,CA,2440
Emmanuel College,Boston,MA,2436
Lake Superior State University,Sault Ste Marie,MI,2435
Alfred University,Alfred,NY,2431
Peru State College,Peru,NE,2422
Oklahoma Christian University,Edmond,OK,2421
Elizabeth City State University,Elizabeth City,NC,2421
Rhode Island School of Design,Providence,RI,2420
Oakland City University,Oakland City,IN,2418
Texas A & M University Health Science Center,Bryan,TX,2417
Vanguard University of Southern California,Costa Mesa,CA,2415
Trevecca Nazarene University,Nashville,TN,2406
Western State Colorado University,Gunnison,CO,2404
Texas A & M University-Central Texas,Killeen,TX,2404
Centenary College,Hackettstown,NJ,2400
Buena Vista University,Storm Lake,IA,2399
Texas Wesleyan University,Fort Worth,TX,2397
Connors State College,Warner,OK,2397
Dickinson College,Carlisle,PA,2396
Hood College,Frederick,MD,2392
King's College,Wilkes-Barre,PA,2391
Medaille College,Buffalo,NY,2390
Trinity College,Hartford,CT,2390
Albright College,Reading,PA,2384
University of Saint Francis-Fort Wayne,Fort Wayne,IN,2381
Saint Michael's College,Colchester,VT,2378
University of Texas Southwestern Medical Center,Dallas,TX,2374
Hobart William Smith Colleges,Geneva,NY,2372
Gwynedd Mercy University,Gwynedd Valley,PA,2371
City University of Seattle,Seattle,WA,2368
Piedmont College,Demorest,GA,2368
Spalding University,Louisville,KY,2367
University of Hawaii-West Oahu,Kapolei,HI,2361
Trinity University,San Antonio,TX,2358
Seton Hill University,Greensburg,PA,2357
Bay Path College,Longmeadow,MA,2357
Bard College,Annandale-On-Hudson,NY,2355
Northeastern Oklahoma A&M College,Miami,OK,2347
Rivier University,Nashua,NH,2346
Saint Francis University,Loretto,PA,2344
Murray State College,Tishomingo,OK,2343
Whittier College,Whittier,CA,2339
The Art Institute of Houston,Houston,TX,2338
Strayer University-Pennsylvania,Trevose,PA,2329
College of Mount St Joseph,Cincinnati,OH,2326
Johnson & Wales University-Charlotte,Charlotte,NC,2325
The Illinois Institute of Art-Chicago,Chicago,IL,2322
University of the Virgin Islands,Charlotte Amalie,VI,2321
New Mexico Junior College,Hobbs,NM,2320
Cloud County Community College,Concordia,KS,2318
St Thomas University,Miami Gardens,FL,2315
Ohio State University-Newark Campus,Newark,OH,2315
University of Rio Grande,Rio Grande,OH,2314
Northwestern Oklahoma State University,Alva,OK,2307
The Art Institute of California-Argosy University Inland Empire,San Bernardino,CA,2307
National American University-Rapid City,Rapid City,SD,2306
Bay de Noc Community College,Escanaba,MI,2305
DePauw University,Greencastle,IN,2304
Rose-Hulman Institute of Technology,Terre Haute,IN,2302
Guilford College,Greensboro,NC,2302
Franklin and Marshall College,Lancaster,PA,2297
Lynn University,Boca Raton,FL,2297
Snead State Community College,Boaz,AL,2295
Adventist University of Health Sciences,Orlando,FL,2293
Southern University at New Orleans,New Orleans,LA,2292
Drew University,Madison,NJ,2291
The University of Virginia's College at Wise,Wise,VA,2291
Graceland University-Lamoni,Lamoni,IA,2286
Queens University of Charlotte,Charlotte,NC,2285
Rush University,Chicago,IL,2280
Washington and Lee University,Lexington,VA,2277
Denison University,Granville,OH,2274
Evangel University,Springfield,MO,2274
Maryland Institute College of Art,Baltimore,MD,2273
Fond du Lac Tribal and Community College,Cloquet,MN,2272
Notre Dame College,Cleveland,OH,2269
University of Mississippi Medical Center,Jackson,MS,2268
Massachusetts College of Art and Design,Boston,MA,2264
Millikin University,Decatur,IL,2261
Inter American University of Puerto Rico-Fajardo,Fajardo,PR,2259
Georgian Court University,Lakewood,NJ,2257
University of Puerto Rico-Medical Sciences,San Juan,PR,2253
Mount Holyoke College,South Hadley,MA,2251
Mid-Continent University,Mayfield,KY,2251
Southern Nazarene University,Bethany,OK,2249
Union College,Schenectady,NY,2246
Northwest Nazarene University,Nampa,ID,2246
Taylor University,Upland,IN,2245
Wagner College,Staten Island,NY,2245
St Bonaventure University,Saint Bonaventure,NY,2244
Mount St Mary's University,Emmitsburg,MD,2240
Louisiana State University-Alexandria,Alexandria,LA,2229
SUNY College of Environmental Science and Forestry,Syracuse,NY,2229
Mount Vernon Nazarene University,Mount Vernon,OH,2229
New England College,Henniker,NH,2224
Berry College,Mount Berry,GA,2223
Saint Norbert College,De Pere,WI,2222
Miami University-Middletown,Middletown,OH,2221
Hardin-Simmons University,Abilene,TX,2220
Flathead Valley Community College,Kalispell,MT,2216
Concordia University-Nebraska,Seward,NE,2206
University of Pikeville,Pikeville,KY,2205
Franklin Pierce University,Rindge,NH,2204
Mississippi Valley State University,Itta Bena,MS,2203
Waynesburg University,Waynesburg,PA,2190
Chestnut Hill College,Philadelphia,PA,2189
Marian University,Fond Du Lac,WI,2188
Lourdes University,Sylvania,OH,2187
University of Mount Union,Alliance,OH,2187
Susquehanna University,Selinsgrove,PA,2187
Central Wyoming College,Riverton,WY,2182
California Institute of Technology,Pasadena,CA,2181
University of Phoenix-Las Vegas Campus,Las Vegas,NV,2180
Friends University,Wichita,KS,2178
Benedictine College,Atchison,KS,2177
Castleton State College,Castleton,VT,2175
Eckerd College,Saint Petersburg,FL,2173
Morehouse College,Atlanta,GA,2170
Chatham University,Pittsburgh,PA,2170
Inter American University of Puerto Rico-Guayama,Guayama,PR,2169
Allegheny College,Meadville,PA,2161
Chipola College,Marianna,FL,2160
Caldwell College,Caldwell,NJ,2160
Muskingum University,New Concord,OH,2154
Williams College,Williamstown,MA,2150
Nebraska Wesleyan University,Lincoln,NE,2149
Dominican University of California,San Rafael,CA,2147
William Woods University,Fulton,MO,2136
Palmer College of Chiropractic-Davenport,Davenport,IA,2135
New Mexico Institute of Mining and Technology,Socorro,NM,2134
Galveston College,Galveston,TX,2131
Spelman College,Atlanta,GA,2129
Grand View University,Des Moines,IA,2129
Occidental College,Los Angeles,CA,2128
DeVry College of New York,New York,NY,2127
Trinity International University-Illinois,Deerfield,IL,2125
Missouri State University-West Plains,West Plains,MO,2123
The College of Wooster,Wooster,OH,2116
Goucher College,Baltimore,MD,2111
Marshalltown Community College,Marshalltown,IA,2101
Ranken Technical College,Saint Louis,MO,2097
Oklahoma Baptist University,Shawnee,OK,2097
North Country Community College,Saranac Lake,NY,2088
Lasell College,Newton,MA,2081
Hodges University,Naples,FL,2078
Malone University,Canton,OH,2074
Inter American University of Puerto Rico-Barranquitas,Barranquitas,PR,2073
Gordon College,Wenham,MA,2073
Coahoma Community College,Clarksdale,MS,2073
United Talmudical Seminary,Brooklyn,NY,2071
Regis College,Weston,MA,2069
Central State University,Wilberforce,OH,2068
Bayamon Central University,Bayamón,PR,2065
The University of the Arts,Philadelphia,PA,2063
Shaw University,Raleigh,NC,2062
